Product_Brand,Product_Name,Product_Price,Category,Product_Description,IMG_URL
4 Paws,Cat Creamy Treats,Rs. 100,Wet Food,"Tuna, Chicken, Salmon Flavours (15g)",
Araton,Salmon,Rs. 1000,Dry Food,Adult-All Breeds (500g),
Araton,Salmon,Rs. 28350,Dry Food,Adult-All Breeds (15kg),
Araton,Kitten,Rs. 1150,Dry Food,<1 Year-All Breeds (500g),
Araton,Kitten,Rs. 4257,Dry Food,<1 Year-All Breeds (1.5kg),
Araton,Kitten,Rs. 28800,Dry Food,<1 Year-All Breeds (15kg),
Black-Cat,Chicken Tenders,Rs. 1450,Wet Food,Naturally Good Treats (60g),
Black-Cat,Fish Delites,Rs. 1450,Wet Food,Naturally Good Treats (60g),
Black-Cat,Kangaroo Delites,Rs. 1450,Wet Food,Naturally Good Treats (60g),
Black-Cat,Lamb Delites,Rs. 1450,Wet Food,Naturally Good Treats (60g),
Bonnie,Adult Cat Food,Rs. 1480,Dry Food,Chicken Flavour (500g),
Bonnie,Adult Cat Food,Rs. 1480,Dry Food,Salmon Flavour (500g),
Bonnie,Basic,Rs. 13500,Dry Food,Adult Cat Food - Chicken Flavour (10kg),
Bonnie,Kitten,Rs. 1580,Dry Food,Chicken Flavour (500g),
Bonnie,Kitten,Rs. 3950,Dry Food,Chicken Flavour (1.5kg),
Cat n Joy,Adult Cat ,Rs. 1350,Dry Food,Mackerel Flavour (500g),
Cat n Joy,Adult Cat,Rs. 1350,Dry Food,Ocean Fish Flavour (500g),
Cat n Joy,Adult Cat,Rs. 1350,Dry Food,Salmon Flavour (500g),
Cat n Joy,Kitten & Mother,Rs. 1350,Dry Food,"Ocean Fish, Chicken & Milk Flavour (400g)",
Cebican,Cat Mix Dry Food,Rs. 5750,Dry Food,Tuna Flavour For All Breeds & Ages (3kg),
Cherman,Chicken & Veggie,Rs. 340,Wet Food,Jelly Pouches for Adult Cats (85g),
Cherman,Tuna & Chicken,Rs. 340,Wet Food,Jelly Pouches for Adult Cats (85g),
Cherman,Tuna & Salmon,Rs. 340,Wet Food,Jelly Pouches for Adult Cats (85g),
Cherman,Tuna & Shrimp,Rs. 340,Wet Food,Jelly Pouches for Adult Cats (85g),
Divinus,Complete Cat Food,Rs. 850,Dry Food,Complete & Balanced Nutrition with Chicken (500g),
Divinus,Complete Cat Food,Rs. 1350,Dry Food,Complete & Balanced Nutrition with Chicken (1kg),
Divinus,Complete Cat Food,Rs. 24800,Dry Food,Complete & Balanced Nutrition with Chicken (20kg),
Divinus,Cat Fish,Rs. 3250,Dry Food,Complete & Balanced Nutrition with Tuna (2kg),
Drools,Adult Cat,Rs. 870 - 1300,Dry Food,Ocean Fish (400g),
Drools,Adult Cat,Rs. 6400,Dry Food,Ocean Fish (3kg),
Drools,Adult Cat,Rs. 11900,Dry Food,Ocean Fish (7kg),
Drools,Adult Cat,Rs. 950 - 1300,Dry Food,Ocean Fish (500g),
Drools ,Adult Cat ,Rs. 1600 ,Dry Food,Mackerel Flavour (1.2kg),
Drools ,Adult Cat ,Rs. 3600,Dry Food,Mackerel Flavour (3kg),
Drools,Adult Cat,Rs. 1150,Dry Food,Tuna & Salmon Flavour,
Drools ,Kitten,Rs. 940 - 1450,Dry Food,Ocean Fish Flavour (400g),
Farmina,N&D Grain Free,Rs. 22750,Dry Food,Adult Cat Chicken & Pomegranate Flavour (5kg),
Felix,Kitten Wet Food Pouch,Rs. 490,Wet Food,As Good As It Looks Chicken in Jelly Flavour (85g),
Felix,Kitten Wet Food Pouch,Rs. 490,Wet Food,As Good As It Looks Tuna in Jelly Flavour (85g),
Happy Cat,Vet,Rs. 2000,Dry Food,Diet Renal Dry Cat Food (400g),
Happy Cat,Omega,Rs. 1800,Dry Food,Months 3-6,
Happy Cat,Supreme Kitten Poultry,Rs. 1700,Dry Food,(300g),
Happy Cat,Supreme Kitten Poultry,Rs. 4500,Dry Food,(1.3kg),
Happy Cat,Minkas,Rs. 1200,Dry Food,"Perfect Mix Chicken, Fish & Lamb",
Happy Cat,Culinary,NA,Dry Food,Adult Cat Pasture-raised Lamb Dry Food (300g),
JOSI,Crispy Duck ,Rs. 1500,Dry Food,(650g),
JOSI,Crispy Duck ,Rs. 3800,Dry Food,(1.9kg),
JOSI,Crispy Duck ,Rs. 16900,Dry Food,(10kg),
JOSI,Crispy Duck ,Rs. 26900,Dry Food,(18kg),
JOSI,Crunchy Chicken,Rs. 1500,Dry Food,(650g),
JOSI,Crunchy Chicken,Rs. 3800,Dry Food,(1.9kg),
JOSI,Crunchy Chicken,Rs. 16900,Dry Food,(10kg),
JOSI,Crunchy Chicken,Rs. 26900,Dry Food,(18kg),
JOSI,Kitten,Rs. 1350,Dry Food,(500g),
JOSI,Kitten,Rs. 1800,Dry Food,(650g),
JOSI,Kitten,Rs. 4200,Dry Food,(1.9kg),
JOSI,Kitten,Rs. 21900,Dry Food,(10kg),
JOSI,Beef Sauce,Rs. 750,Wet Food,Wet Food Tin (415g),
JOSI,Chicken Sauce,Rs. 750,Wet Food,Wet Food Tin (415g),
JOSI,Fish Sauce,Rs. 750,Wet Food,Wet Food Tin (415g),
JOSI,Beef Jelly,Rs. 750,Wet Food,Wet Food Tin (400g),
JOSI,Chicken Jelly ,Rs. 750,Wet Food,Wet Food Tin (400g),
Let's Bite,Active Adult,Rs. 1530,Dry Food,Ocean Fish +1 Year (400g),
Let's Bite,Active Adult,Rs. 3600,Dry Food,Ocean Fish +1 Year (1kg),
Let's Bite,Active Adult,Rs. 8500,Dry Food,Ocean Fish +1 Year (5kg),
Let's Bite,Active Persian Adult,Rs. 1520,Dry Food,Ocean Fish +1 Year (400g),
Let's Bite,Active Persian Adult,Rs. 3600,Dry Food,Ocean Fish +1 Year (1kg),
Let's Bite,Active Kitten,Rs. 1640,Dry Food,Ocean Fish 1-12 months (400g),
Let's Bite,Active Kitten,Rs. 3850,Dry Food,Ocean Fish 1-12 months (1kg),
Me-O,Creamy Treats,Rs. 580,Wet Food,Bonito Flavour (60g),
Me-O,Creamy Treats,Rs. 580,Wet Food,Crab Flavour (60g),
Me-O,Creamy Treats,Rs. 580,Wet Food,Chicken & Liver Flavour (60g),
Me-O,Creamy Treats,Rs. 580,Wet Food,Salmon Flavour (60g),
Me-O, Jelly Wet Food Pouch,Rs. 390 - 490,Wet Food,Ocean Fish Flavour (80g),
Me-O,Jelly Wet Food Pouch,Rs. 390 - 490,Wet Food,Tuna Flavour (80g),
Me-O,Jelly Wet Food Pouch,Rs. 390 - 490,Wet Food,Tuna & White Fish Flavour (80g),
Me-O,Jelly Kitten Wet Food Pouch,Rs. 390 - 490,Wet Food,Tuna with Sardine Flavour (80g),
Me-O,Adult Dry Food,Rs. 1245,Dry Food,Mackerel Flavour (450g),
Me-O,Adult Dry Food,Rs. 2990,Dry Food,Mackerel Flavour (1.2kg),
Me-O,Adult Dry Food,Rs. 5490,Dry Food,Mackerel Flavour (3kg),
Me-O,Adult Dry Food,Rs. 11950,Dry Food,Mackerel Flavour (7kg),
Me-O,Adult Dry Food,Rs. 1245,Dry Food,Tuna Flavour (450g),
Me-O,Adult Dry Food,Rs. 2990,Dry Food,Tuna Flavour (1.2kg),
Me-O,Adult Dry Food,Rs. 5490,Dry Food,Tuna Flavour (3kg),
Me-O,Adult Dry Food,Rs. 11950,Dry Food,Tuna Flavour (7kg),
Me-O,Adult Dry Food,Rs. 1245,Dry Food,Sea Food Flavour (450g),
Me-O,Adult Dry Food,Rs. 2990,Dry Food,Sea Food Flavour (1.2kg),
Me-O,Adult Dry Food,Rs. 5490,Dry Food,Sea Food Flavour (3kg),
Me-O,Adult Dry Food,Rs. 11950,Dry Food,Sea Food Flavour (7kg),
Me-O,Adult Dry Food,Rs. 1245,Dry Food,Chicken & Vegetable Flavour (450g),
Me-O,Adult Dry Food,Rs. 2990,Dry Food,Chicken & Vegetable Flavour (1.2kg),
Me-O,Adult Dry Food,Rs. 5490,Dry Food,Chicken & Vegetable Flavour (3kg),
Me-O,Adult Dry Food,Rs. 11950,Dry Food,Chicken & Vegetable Flavour (7kg),
Me-O,Ktten Dry Food,Rs. 1245,Dry Food,Ocean Fish Flavour (400g),
Me-O,Ktten Dry Food,Rs. 2990,Dry Food,Ocean Fish Flavour (1.1kg),
Me-O,Mother & Baby Dry Food,Rs. 1245,Dry Food,Rehydration (400g),
Me-O,Mother & Baby Dry Food,Rs. 2990,Dry Food,Rehydration (1.1kg),
Me-O,Persian Adult Dry Food,Rs. 1245,Dry Food,Anti-Hairball Formula (400g),
Me-O,Persian Adult Dry Food,Rs. 2990,Dry Food,Anti-Hairball Formula (1.1kg),
Me-O,Persian Kitten Dry Food,Rs. 1245,Dry Food,Anti-Hairball Formula (400g),
Me-O,Persian Kitten Dry Food,Rs. 2990,Dry Food,Anti-Hairball Formula (1.1kg),
VetGrow,Meowghurt,Rs. 450,Wet Food,Hydrolyzed cat Food (200g),
Morando,Miglior Gatto,Rs. 650,Wet Food,Special Menu with Chicken Chunk Cat Wet Food Tin (400g),
Morando,Miglior Gatto,Rs. 650,Wet Food,Special Menu with Fish Chunk Cat Wet Food Tin (400g),
Morando,Miglior Gatto,Rs. 650,Wet Food,Special Menu with Salmon Chunk Cat Wet Food Tin (400g),
Morando,Miglior Gatto,Rs. 650,Wet Food,Pate with Chicken & Turkey Cat Wet Food Tin (400g),
Morando,Miglior Gatto,Rs. 650,Wet Food,Pate with Salmon Cat Wet Food Tin (400g),
Morando,Professional,Rs. 650,Wet Food,Chicken & Turkey Chunk Cat Wet Food Tin (400g),
Morando,Professional,Rs. 650,Wet Food,Salmon & Shrimps Chunk Cat Wet Food Tin (400g),
Morando,Professional,Rs. 650,Wet Food,Fish & Shrimp Chunk Cat Wet Food Tin (400g),
Morando,Professional,Rs. 650,Wet Food,Tuna & Salmon Chunk Cat Wet Food Tin (400g),
Morando,Miglior Gatto Kibble,Rs. 1250,Dry Food,Chicken Dry Food (400g),
Morando,Miglior Gatto Kibble,Rs. 3950 - 4750,Dry Food,Chicken Dry Food (1.5kg),
Morando,Miglior Gatto Kibble,Rs. 4950 - 5450,Dry Food,Chicken & Turkey Dry Food (2kg),
Morando,Miglior Gatto Kibble,Rs. 1250,Dry Food,Beef Dry Food (400g),
Morando,Miglior Gatto Kibble,Rs. 1250,Dry Food,Fish Dry Food (400g),
Morando,Miglior Gatto Kibble,Rs. 1250,Dry Food,Salmon Dry Food (400g),
Morando,Miglior Gatto Kibble,Rs. 3950 - 4750,Dry Food,Salmon Dry Food (1.5kg),
Morando,Miglior Gatto Kibble,Rs. 4950 - 5250,Dry Food,Salmon Dry Food (2kg),
Morando,Miglior Gatto Hairball Kibble,Rs. 4950 - 5450,Dry Food,Chicken Dry Food (2kg),
Morando,Professional Kitten Kibble,Rs. 3990 - 4850,Dry Food,Chicken Dry Food (1.5kg),
Morando,Professional Sterilized Kibble,Rs. 3990 - 4850,Dry Food,Salmon Dry Food (1.5kg),
Morando,Miglior Gatto Strips,Rs. 450,Dry Food,Salmon & Tuna Flavour (100g),
Morando,Miglior Gatto Strips,Rs. 450,Dry Food,Chicken & Turkey Flavour (100g),
Morando,Professional Sterilized ,Rs. 575,Wet Food,Chicken & Turkey Wet Food (85g),
Morando,Professional Sterilized ,Rs. 575,Wet Food,Salmon Wet Food (85g),
Miow Miow,Adult Cat,Rs. 140,Dry Food,Ocean Fish Flavour (50g),
Miow Miow,Adult Cat,Rs. 2900,Dry Food,Ocean Fish Flavour (1.2kg),
Miow Miow,Adult Cat,Rs. 6000 ,Dry Food,Ocean Fish Flavour (2.8kg),
Miow Miow,Adult Cat,Rs. 140,Dry Food,Tuna Fish Flavour (50g),
Miow Miow,Adult Cat,Rs. 2900,Dry Food,Tuna Fish Flavour (1.2kg),
Miow Miow,Adult Cat,Rs. 6000 ,Dry Food,Tuna Fish Flavour (2.8kg),
Miow Miow,Kitten,Rs. 140,Dry Food,Ocean Fish Flavour (50g),
Miow Miow,Kitten,Rs. 2900,Dry Food,Ocean Fish Flavour (1.2kg),
Miow Miow,Kitten,Rs. 6000 ,Dry Food,Ocean Fish Flavour (2.8kg),
Ole Kat,Dry Food,Rs. 100,Dry Food,Mackerel Flavour (50g),
Ole Kat,Dry Food,Rs. 1450,Dry Food,Mackerel Flavour (1kg),
Ole Kat,Dry Food,Rs. 23900,Dry Food,Mackerel Flavour (20kg),
Pelen,Creamy Snack,Rs. 100,Wet Food,Salmon & Shrimp Wet Treats (15g),
Pelen,Creamy Snack,Rs. 100,Wet Food,Tuna & Shrimp Wet Treats (15g),
Pelen,Creamy Snack,Rs. 100,Wet Food,Tuna & Chicken Wet Treats (15g),
Premium Kitty,Dry Food,Rs. 500,Dry Food,"Tuna, Fish, Chicken & Cheese Flavour (400g)",
Premium Kitty,Dry Food,Rs. 5750,Dry Food,"Tuna, Fish, Chicken & Cheese Flavour (5kg)",
Purina,Pro Plan Adult,Rs. 2825,Dry Food,Chicken Formula (400g),
Purina,Pro Plan Adult,Rs. 8500,Dry Food,Chicken Formula (1.5kg),
Purina ,Pro Plan Kitten Starter,Rs. 9400 - 11900,Dry Food,Salmon & Tuna Formula (1.5kg),
Purina,Pro Plan Adult 7+,Rs. 10500,Dry Food,Salmon & Tuna Formula (1.5kg),
Purina ,Pro Plan Indoor Hairball Control,Rs. 8900,Dry Food,Adult Food (1.5kg),
Purina ,Pro Plan Kitten Chicken ,Rs. 2925,Dry Food,Dry Food (400g),
Purina ,Pro Plan Kitten Chicken ,Rs. 9100 - 9900,Dry Food,Dry Food (1.5kg),
