Product_Brand,Product_Name,Product_Price,Category,Product_Description,IMG_URL
Araton,Active Adult,Rs. 1450,Dry Food,All Breed 1kg,
Araton,Active Adult,Rs. 22500,Dry Food,All Breed 15kg,
Ayur,Pawesome Portions,Rs. 590,Wet Food,Tuna & Vegetables 380g,
Black Dog,Natural Chicken Sticks,Rs. 1850,Dry Treats,6 packs,
Black Dog,Natural Kangaroo Sticks,Rs. 1850,Dry Treats,6 packs,
Black Dog,Mini Biscuits Beef,Rs. 3500,Dry Treat,1kg,
Black Dog,Mini Biscuits Chicken,Rs. 3500,Dry Treat,1kg,
Black Dog,Mini Biscuits Cheese,Rs. 3500,Dry Treat,1kg,
Black Hawk,Adult Lamb & Rice,Rs. 8200,Dry Food ,3kg,
Black Hawk,Puppy Lamb & Rice,Rs. 8500,Dry Food,Small Breed 3kg,
Black Hawk,Puppy Lamb & Rice,Rs. 8500,Dry Food,Large Breed 3kg,
Canis ,Dehydrated Chicken Feets,Rs. 900,Dry Treat,20 pcs,
Canis ,Bone Broth,Rs. 950,Wet Food,400ml,
Classic Pets,Adult Chicken,Rs. 680,Dry Food,500g,
Classic Pets,Adult Chicken,Rs. 2580,Dry Food,2kg,
Classic Pets,Adult Chicken,Rs. 4280,Dry Food,3.5kg ,
Classic Pets,Adult Beef,Rs. 2580,Dry Food,2kg,
Classic Pets,Puppy Milk,Rs. 770,Dry Food ,500g,
Classic Pets,Puppy MIlk,Rs. 2690 - 2990,Dry Food,2kg,
Dog n Joy,Adult Lamb ,Rs. 12500 - 14750,Dry Food,10kg,
Dog n Joy,Adult  Complete,Rs. 1200,Dry Food,500g,
Dog n Joy,Complete Puppy & Mother ,Rs. 1300,Dry Food,Chicken & Milk 500g,
Divinus ,Puppy ,Rs. 4200 - 5600,Dry Food,Complete & Balanced Nutrition 4kg,
Divinus ,Puppy ,Rs. 22800,Dry Food,Complete & Balanced Nutrition 20kg,
Divinus ,Adult ,Rs. 21000,Dry Food,Complete & Balanced Nutrition 20kg,
Divinus ,Performance ,Rs. 22500,Dry Food,Complete & Balanced Nutrition 20kg,
Drools,Adult ,Rs. 750,Dry Food,Chicken & Egg 400g,
Drools,Adult ,Rs. 1200,Dry Food,Chicken & Egg 700g,
Drools,Adult ,Rs. 4150,Dry Food,Chicken & Egg 3kg,
Drools,Adult ,Rs. 12900,Dry Food,Chicken & Egg 10kg,
Drools,Puppy,Rs. 750,Dry Food,Chicken & Egg 400g,
Drools,Puppy,Rs. 1200,Dry Food,Chicken & Egg 700g,
Drools,Puppy,Rs. 5100,Dry Food,Chicken & Egg 3kg,
Drools,Puppy,Rs. 12900,Dry Food,Chicken & Egg 700g,
Drools,Adult Pouch ,Rs. 210 ,Wet Food,Liver Chuncks in Gravy 150g,
Drools,Puppy Pouch ,Rs. 210 ,Wet Food,Liver Chuncks in Gravy 150g,
Happy Dog,Baby Original ,Rs. 21900,Dry Food,18kg,
Happy Dog,Junior Original,Rs. 1800,Dry Food,Supreme Young  1kg,
Happy Dog,NaturCroq Puppy,Rs. 1800,Dry Food,1kg,
Happy Dog,NaturCroq Puppy,Rs. 5000,Dry Food,4kg,
Happy Dog,NaturCroq Puppy,Rs. 15200,Dry Food,15kg,
Happy Dog,NaturCroq Adult,Rs. 1900,Dry Food,Lamb & Rice 1kg,
Happy Dog,NaturCroq Adult,Rs. 6900,Dry Food,Lamb & Rice 4kg,
Happy Dog,NaturCroq Adult,Rs. 22500,Dry Food,Lamb & Rice 15kg,
Happy Dog,NaturCroq Adult,Rs. 1800,Dry Food,Poultry Pure & Rice 1kg,
Happy Dog,NaturCroq Adult,Rs. 6900,Dry Food,Poultry Pure & Rice 4kg,
Happy Dog,NaturCroq Adult,Rs. 16900,Dry Food,Poultry Pure & Rice 15kg,
Happy Dog,Hepatic,Rs. 2250 ,Dry Food,Vet Adult 1kg,
King,Regular Adult ,Rs. 12250 - 12500,Dry Food,Beef 10kg,
King,Regular Adult ,Rs. 22500,Dry Food,Beef 20kg,
Let's Bite,Active Adult,Rs. 1810 - 2290,Dry Food,Chicken & Egg 1.2kg,
Let's Bite,Active Adult,Rs. 13300,Dry Food,Chicken & Egg 10kg,
Let's Bite,Active Puppy,Rs. 1810 - 2390,Dry Food,Chicken & Egg 1.2kg,
Let's Bite,Active Puppy,Rs. 13300 - 17900,Dry Food,Chicken & Egg 10kg,
Morando,Miglior Cane Chunks,Rs. 650,Wet Food,Chunks with Beef Tin 400g,
